证券代码,证券简称,基金成立日
009988.OF,信澳蓝筹精选,2020-09-09
010001.OF,创金合信研究精选A,2020-11-04
010002.OF,创金合信研究精选C,2020-11-04
010003.OF,景顺长城电子信息产业A,2020-09-09
010004.OF,景顺长城电子信息产业C,2020-09-09
010010.OF,国投瑞银港股通6个月定开,2020-08-27
010013.OF,易方达信息行业精选,2020-08-24
010024.OF,广发沪港深新起点C,2020-09-22
010112.OF,广发研究精选A,2020-11-04
010113.OF,广发研究精选C,2020-11-04
010120.OF,九泰久福量化A,2021-01-20
010121.OF,九泰久福量化C,2021-01-20
010128.OF,宝盈发展新动能A,2020-09-27
010129.OF,宝盈发展新动能C,2020-09-27
010141.OF,朱雀企业优选A,2020-09-23
010142.OF,朱雀企业优选C,2020-09-23
010160.OF,广发高端制造C,2020-09-16
010161.OF,广发瑞安精选A,2020-12-16
010162.OF,广发瑞安精选C,2020-12-16
010196.OF,易方达核心优势A,2021-01-28
010197.OF,易方达核心优势C,2021-01-28
010204.OF,中银港股通优势成长,2021-02-09
010235.OF,广发资源优选C,2020-09-24
010236.OF,广发电子信息传媒产业精选C,2020-09-24
010245.OF,广发品牌消费C,2020-09-24
010321.OF,中银大健康C,2020-10-16
010322.OF,大摩新兴产业,2021-02-24
010331.OF,天弘消费A,2021-03-30
010332.OF,天弘消费C,2021-03-30
010341.OF,招商产业精选A,2020-12-16
010342.OF,招商产业精选C,2020-12-16
010349.OF,诺安低碳经济C,2020-10-28
010361.OF,嘉实品质优选A,2021-05-25
010362.OF,嘉实品质优选C,2021-05-25
010387.OF,易方达医药生物A,2020-11-04
010388.OF,易方达医药生物C,2020-11-04
010391.OF,易方达战略新兴产业A,2021-01-13
010392.OF,易方达战略新兴产业C,2021-01-13
010409.OF,富国消费精选30,2020-11-05
010420.OF,民生加银成长优选,2020-11-27
010434.OF,红土创新医疗保健,2020-10-20
010469.OF,圆信永丰聚优A,2021-04-16
010470.OF,圆信永丰聚优C,2021-04-16
010495.OF,创金合信创新驱动A,2020-12-30
010496.OF,创金合信创新驱动C,2020-12-30
010505.OF,申万菱信创业板量化精选C,2020-10-29
010585.OF,创金合信医药消费A,2020-12-03
010586.OF,创金合信医药消费C,2020-12-03
010592.OF,南方医药创新A,2021-03-02
010593.OF,南方医药创新C,2021-03-02
010680.OF,华夏新兴成长A,2021-01-15
010681.OF,华夏新兴成长C,2021-01-15
010685.OF,工银前沿医疗C,2020-11-23
010687.OF,工银文体产业C,2020-11-23
010703.OF,财通智选消费A,2021-01-27
010704.OF,财通智选消费C,2021-01-27
010709.OF,安信医药健康A,2021-01-12
010710.OF,安信医药健康C,2021-01-12
010777.OF,浙商智选家居A,2021-03-19
010778.OF,浙商智选家居C,2021-03-19
010801.OF,长江量化消费精选A,2021-01-27
010802.OF,长江量化消费精选C,2021-01-27
010812.OF,中银战略新兴产业C,2020-12-11
010815.OF,农银汇理新兴消费,2021-03-03
010892.OF,中银证券精选行业A,2021-01-20
010893.OF,中银证券精选行业C,2021-01-20
010896.OF,太平价值增长A,2021-04-21
010897.OF,太平价值增长C,2021-04-21
010998.OF,博道消费智航,2021-05-07
011013.OF,长城消费30A,2021-05-11
011014.OF,长城消费30C,2021-05-11
011042.OF,国泰价值先锋A,2021-03-09
011043.OF,国泰价值先锋C,2021-03-09
011066.OF,大成高新技术产业C,2020-12-25
011077.OF,汇丰晋信创新先锋,2021-03-16
011104.OF,光大保德信智能汽车主题,2021-02-09
011107.OF,九泰天兴量化智选A,2021-08-12
011108.OF,九泰天兴量化智选C,2021-08-12
011122.OF,汇添富ESG可持续成长A,2021-06-10
011123.OF,汇添富ESG可持续成长C,2021-06-10
011125.OF,富国文体健康C,2020-12-28
011126.OF,富国互联科技C,2020-12-30
011142.OF,创金合信新材料新能源A,2020-12-30
011143.OF,创金合信新材料新能源C,2020-12-30
011146.OF,创金合信气候变化A,2020-12-30
011147.OF,创金合信气候变化C,2020-12-30
011149.OF,创金合信ESG责任投资A,2020-12-30
011150.OF,创金合信ESG责任投资C,2020-12-30
011179.OF,浙商智选食品饮料A,2021-03-19
011180.OF,浙商智选食品饮料C,2021-03-19
011220.OF,南方匠心优选A,2021-02-02
011221.OF,南方匠心优选C,2021-02-02
011224.OF,九泰盈泰量化A,2021-08-18
011225.OF,九泰盈泰量化C,2021-08-18
011229.OF,创金合信数字经济主题A,2021-01-20
011230.OF,创金合信数字经济主题C,2021-01-20
011236.OF,上投摩根行业睿选A,2021-02-26
011237.OF,上投摩根行业睿选C,2021-02-26
011254.OF,长江量化科技精选一个月滚动持有A,2021-06-23
011255.OF,长江量化科技精选一个月滚动持有C,2021-06-23
011269.OF,中银证券优势制造A,2021-07-08
011270.OF,中银证券优势制造C,2021-07-08
011285.OF,民生加银价值优选6个月持有A,2021-06-08
011286.OF,民生加银价值优选6个月持有C,2021-06-08
011295.OF,信诚量化阿尔法C,2021-04-20
011321.OF,国泰大健康C,2021-01-26
011322.OF,国泰智能装备C,2021-01-25
011323.OF,国泰智能汽车C,2021-01-25
011326.OF,国泰医药健康C,2021-01-26
011328.OF,景顺长城新能源产业A,2021-02-22
011329.OF,景顺长城新能源产业C,2021-02-22
011349.OF,淳厚现代服务业A,2021-08-24
011350.OF,淳厚现代服务业C,2021-08-24
011373.OF,招商前沿医疗保健A,2021-06-22
011374.OF,招商前沿医疗保健C,2021-06-22
011377.OF,创金合信积极成长A,2021-02-08
011378.OF,创金合信积极成长C,2021-02-08
011384.OF,南方远见回报A,2021-03-25
011385.OF,南方远见回报C,2021-03-25
011418.OF,汇添富消费精选两年持有A,2021-05-11
011419.OF,汇添富消费精选两年持有C,2021-05-11
011424.OF,汇添富外延增长主题C,2021-01-25
011425.OF,广发优势成长A,2021-02-09
011426.OF,广发优势成长C,2021-02-09
011457.OF,新华行业龙头主题,2021-03-24
011463.OF,长城量化精选C,2021-02-03
011470.OF,东吴新产业精选C,2021-02-02
011473.OF,工银战略转型主题C,2021-02-05
011476.OF,工银新蓝筹C,2021-02-09
011478.OF,工银美丽城镇主题C,2021-02-09
011498.OF,富国沪深300基本面精选A,2021-06-01
011499.OF,富国沪深300基本面精选C,2021-06-01
011506.OF,建信高端装备A,2021-04-27
011507.OF,建信高端装备C,2021-04-27
011589.OF,九泰天利量化A,2021-10-12
011590.OF,九泰天利量化C,2021-10-12
011592.OF,博时军工主题C,2021-02-24
011601.OF,前海开源公共卫生主题精选A,2021-03-25
011602.OF,前海开源公共卫生主题精选C,2021-03-25
011645.OF,国泰核心价值两年持有A,2021-06-08
011646.OF,国泰核心价值两年持有C,2021-06-08
011651.OF,招商港股通核心精选A,2021-03-23
011652.OF,招商港股通核心精选C,2021-03-23
011685.OF,创金合信先进装备A,2021-03-29
011686.OF,创金合信先进装备C,2021-03-29
011722.OF,前海开源深圳特区精选A,2021-05-07
011723.OF,前海开源深圳特区精选C,2021-05-07
011726.OF,安信新常态沪港深精选C,2021-03-17
011793.OF,建信智能汽车,2021-09-10
011824.OF,浙商汇金量化臻选A,2021-07-01
011825.OF,浙商汇金量化臻选C,2021-07-01
011836.OF,银华智能建造,2021-09-24
011882.OF,招商蓝筹精选A,2021-07-27
011883.OF,招商蓝筹精选C,2021-07-27
011923.OF,大成消费精选A,2021-05-24
011926.OF,大成消费精选C,2021-05-24
011934.OF,中航量化阿尔法六个月持有A,2021-08-25
011935.OF,中航量化阿尔法六个月持有C,2021-08-25
012045.OF,大成医药健康A,2021-09-16
012046.OF,大成医药健康C,2021-09-16
012126.OF,泰达宏利新能源A,2021-05-26
